bathrooms,bedrooms,car_spaces,floor_area_m2,land_size_m2,price_php
3,3,2,188.0,172.0,19000000.0
4,4,3,393.0,100.0,53000000.0
4,4,2,307.0,240.0,27000000.0
3,3,2,126.0,42.0,8888888.0
5,5,2,260.0,163.0,15800000.0
3,3,2,117.0,176.0,15000000.0
1,3,0,66.0,70.0,4800000.0
3,3,2,180.0,90.0,7800000.0
3,4,3,400.0,256.0,44800000.0
3,4,4,540.37,837.0,39950000.0
11,8,0,800.0,600.0,95000000.0
5,4,0,850.0,364.0,95000000.0
5,5,0,850.0,663.0,105000000.0
3,5,3,157.0,140.0,9000000.0
7,4,4,400.0,353.0,64000000.0
4,4,2,268.0,81.6,29000000.0
3,3,1,80.0,60.0,5300000.0
6,5,0,513.0,189.0,130000000.0
5,4,2,280.0,240.0,20500000.0
4,4,3,325.0,235.0,26000000.0
5,4,3,255.0,160.0,20000000.0
4,4,0,540.37,837.0,39950000.0
4,4,0,307.0,240.0,27000000.0
5,5,3,530.0,496.0,28000000.0
6,5,4,513.0,189.0,130000000.0
5,5,2,350.0,240.0,34000000.0
4,4,2,750.0,504.0,48000000.0
5,4,2,254.0,69.0,27900000.0
3,3,2,332.0,150.0,36000000.0
5,5,4,560.0,480.0,35000000.0
4,4,0,500.0,706.0,80000000.0
5,4,0,410.0,200.0,49800000.0
3,4,1,160.0,141.0,13000000.0
7,11,0,1200.0,586.0,59850000.0
3,4,2,300.0,230.0,45000000.0
5,5,4,432.0,278.0,23079400.0
2,3,1,104.0,60.0,5342000.0
2,3,2,170.0,204.0,17300000.0
5,8,1,1100.0,696.0,73000000.0
4,4,2,160.59,63.06,13000000.0
2,2,1,54.0,51.0,4899998.0
3,4,0,160.0,223.0,7100000.0
3,4,0,110.0,75.0,6500000.0
2,2,0,75.0,60.0,4800000.0
3,4,3,243.0,185.0,16902930.0
3,3,0,230.0,100.0,12000000.0
2,3,0,100.0,112.0,8000000.0
4,4,0,400.0,310.0,45000000.0
5,4,4,350.0,419.0,47000000.0
5,5,2,675.0,555.0,195000000.0
5,3,0,315.0,432.0,75000000.0
8,8,0,765.0,351.0,55000000.0
6,6,8,900.0,510.0,188000000.0
5,5,0,800.0,1012.0,600000000.0
3,3,2,126.95,42.0,8888888.0
4,4,2,185.0,78.0,11500000.0
5,6,2,336.0,122.0,24500000.0
4,4,3,290.0,82.0,29500000.0
